category,paperid,date,num_authors,title
bioinformatics,093807,2017/11/22,5,Improving Gene Regulatory Network Inference by Incorporating Rates of Transcriptional Change
bioinformatics,041988,2016/03/02,2,A simple analytical formula to compute the residual Mutual Information between pairs of data vectors
bioinformatics,041962,2016/03/02,4,OncoScape: Exploring the cancer aberration landscape by genomic data fusion
bioinformatics,041863,2016/03/02,3,"Vcfanno: fast, flexible annotation of genetic variants"
bioinformatics,041384,2016/03/02,5,Diffusion pseudotime robustly reconstructs lineage branching
bioinformatics,041822,2016/02/29,14,SignaFish: a zebrafish-specific signaling pathway resource
bioinformatics,041848,2016/02/29,3,Assessment of Circulating Copy Number Variant Detection for Cancer Screening
bioinformatics,026708,2016/02/28,4,An alternative class of targets for microRNAs containing CG dinucleotide
bioinformatics,041616,2016/02/28,3,Genome-Wide Prediction of cis-Regulatory Regions Using Supervised Deep Learning Methods
bioinformatics,041566,2016/02/26,5,Does the choice of nucleotide substitution models matter topologically?
bioinformatics,041277,2016/02/26,2,VcfR: an R package to manipulate and visualize VCF format data
bioinformatics,032946,2016/02/25,3,How reliable are ligand-centric methods for Target Fishing?
bioinformatics,030569,2016/02/23,11,4C-ker: A method to reproducibly identify genome-wide interactions captured by 4C-Seq experiments
bioinformatics,040352,2016/02/22,10,Kronos: a workflow assembler for genome analytics and informatics
bioinformatics,040477,2016/02/21,10,Enabling the democratization of the genomics revolution with a fully integrated web-based bioinformatics platform
bioinformatics,040261,2016/02/19,10,StrainSeeker: fast identification of bacterial strains from unassembled sequencing reads using user-provided guide trees.
bioinformatics,040170,2016/02/19,2,variancePartition: Interpreting drivers of variation in complex gene expression studies
bioinformatics,040345,2016/02/19,5,MetaCycle: an integrated R package to evaluate periodicity in large scale data
bioinformatics,040196,2016/02/18,5,Reconstruction of ancestral genomes in presence of gene gain and loss.
bioinformatics,040121,2016/02/18,4,"Combating Chagas Disease Through Inhibition of Tiam1, a Rho GTPase Guanine Nucleotide Exchange Factor"
bioinformatics,040071,2016/02/18,9,Succinct Colored de Bruijn Graphs
bioinformatics,219675,2017/11/14,2,Automated high throughput animal DNA metabarcode classification
bioinformatics,219592,2017/11/14,5,COLT-Viz: Interactive Visualization of Antibody Lineage Trees
bioinformatics,219667,2017/11/14,3,Modeling Enhancer-Promoter Interactions with Attention-Based Neural Networks
bioinformatics,215210,2017/11/14,7,High genomic diversity of multi-drug resistant wastewater Escherichia coli
bioinformatics,204438,2017/11/14,2,QuASAR: Quality Assessment of Spatial Arrangement Reproducibility in Hi-C Data
bioinformatics,219188,2017/11/14,7,Beyond pseudotime: Following T-cell maturation in single-cell RNAseq time series
bioinformatics,219295,2017/11/14,11,Genomes from uncultivated prokaryotes: a comparison of metagenome-assembled and single-amplified genomes
bioinformatics,219089,2017/11/14,12,A systems approach to refine disease taxonomy by integrating phenotypic and molecular networks
bioinformatics,219287,2017/11/14,5,"Combining RNA-seq data and homology-based gene prediction for plants, animals and fungi"
bioinformatics,200758,2017/11/13,6,A Deep Recurrent Neural Network Discovers Complex Biological Rules to Decipher RNA Protein-Coding Potential
bioinformatics,130674,2017/04/25,2,Parameter Estimation In Mathematical Models Of Viral Infections Using R
bioinformatics,130526,2017/04/25,5,Quantification of Cancer Cell Migration with an Integrated Experimental-Computational Pipeline
bioinformatics,106138,2017/04/25,6,Iroki: automatic customization for phylogenetic trees
bioinformatics,065292,2017/04/25,2,Comprehensive investigation of temporal and autism-associated cell type composition-dependent and independent gene expression changes in human brains
bioinformatics,129742,2017/04/24,2,Genome-Wide Differential Gene Network Analysis R Software And Its Application In LnCap Prostate Cancer
bioinformatics,130419,2017/04/24,7,Statistically robust methylation calling for whole-transcriptome bisulfite sequencing reveals distinct methylation patterns for mouse RNAs
bioinformatics,130336,2017/04/24,3,Manifold Alignment Reveals Correspondence Between Single Cell Transcriptome and Epigenome Dynamics
bioinformatics,130161,2017/04/24,3,Protein Structural Disorder Of The Envelope V3 Loop Contributes To The Switch In Human Immunodeficiency Virus Type 1 Cell Tropism
bioinformatics,130211,2017/04/24,1,"A Computational Study About The Mechanism Of Action Of Metformin On Hepatic Gluconeogenesis, Focused On Its Ability To Create Stable Pseudo-Aromatic Copper Complexes"
bioinformatics,126664,2017/04/24,6,NetREX: Network Rewiring using EXpression - Towards Context Specific Regulatory Networks
bioinformatics,072868,2016/09/01,3,Contig annotation tool CAT robustly classifies assembled metagenomic contigs and long sequences
bioinformatics,045153,2016/08/31,9,Predictive computational phenotyping and biomarker discovery using reference-free genome comparisons
bioinformatics,072744,2016/08/31,13,Targeted reconstruction of T cell receptor sequence from single cell RNA-sequencing links CDR3 length to T cell differentiation state
bioinformatics,072413,2016/08/31,4,A phylogenetic transform enhances analysis of compositional microbiota data
bioinformatics,014399,2016/08/31,3,Do Read Errors Matter for Genome Assembly?
bioinformatics,072447,2016/08/31,2,Simera: Modelling the PCR Process to Simulate Realistic Chimera Formation
bioinformatics,072405,2016/08/30,2,Detecting consistent patterns of directional adaptation using differential selection codon models
bioinformatics,072330,2016/08/30,12,GAVIN - Gene-Aware Variant INterpretation for medical sequencing
bioinformatics,059295,2016/08/30,1,microRNA-mRNA interaction identification in Wilms tumor using principalcomponent analysis based unsupervised feature extraction
bioinformatics,050724,2016/08/30,5,Increased taxon sampling reveals thousands of hidden orthologs in flatworms
bioinformatics,081703,2016/11/19,3,Scalable variational inference for super resolution microscopy
bioinformatics,088666,2016/11/19,1,UNCROSS: Filtering of high-frequency cross-talk in 16S amplicon reads
bioinformatics,088401,2016/11/17,13,GLASS: assisted and standardized assessment of gene variations from Sanger sequence trace data
bioinformatics,084954,2016/11/17,5,HiC-bench: comprehensive and reproducible Hi-C data analysis designed for parameter exploration and benchmarking
bioinformatics,087809,2016/11/17,27,A community-based collaboration to build prediction models for short-term discontinuation of docetaxel in metastatic castration-resistant prostate cancer
bioinformatics,088112,2016/11/16,4,Exploiting Next Generation Sequencing to solve the Haplotyping puzzle in Polyploids: a Simulation study
bioinformatics,088138,2016/11/16,3,Computational evidence of a compound with nicotinic α4β2-Ach receptor partial agonist properties as possible coadjuvant for the treatment of obesity
bioinformatics,088039,2016/11/16,5,Detecting Selection Signals In Plasmodium falciparum Using Identity-By-Descent Analysis
bioinformatics,087759,2016/11/16,2,Efficient Heuristic for Decomposing a Flow with Minimum Number of Paths
bioinformatics,069245,2016/11/16,6,Efficient randomization of biological networks while preserving functional characterization of individual nodes
bioinformatics,201186,2017/10/10,5,Biopipe: A Lightweight System Enabling Comparison of Bioinformatics Tools and Workflows
bioinformatics,148726,2017/10/10,6,Enhancer Linking by Methylation/Expression Relationships with the R package ELMER version 2
bioinformatics,201152,2017/10/10,4,Touching proteins with virtual bare hands: how to visualize protein-drug complexes and their dynamics in virtual reality
bioinformatics,200915,2017/10/10,2,"SSEalign: accurate function prediction of bacterial unannotated protein, based on effective training dataset"
bioinformatics,139287,2017/10/10,2,Unsupervised multiple kernel learning for heterogeneous data integration
bioinformatics,055913,2017/10/09,5,Tribe: The collaborative platform for reproducible web-based analysis of gene sets
bioinformatics,200527,2017/10/09,10,DGIdb 3.0: a redesign and expansion of the drug-gene interaction database
bioinformatics,200535,2017/10/09,2,A transcriptome and literature guided algorithm for reconstruction of pathways to assess activity of telomere maintenance mechanisms
bioinformatics,200329,2017/10/09,6,Vital Signs Analysis Algorithm Detects Inflammatory Response in Premature Infants with Late Onset Sepsis and Necrotizing Enterocolitis
bioinformatics,200147,2017/10/09,3,Re-Identification of Individuals in Genomic Data-Sharing Beacons via Allele Inference
bioinformatics,234914,2017/12/15,5,Integrative inference of subclonal tumour evolution from single-cell and bulk sequencing data
bioinformatics,233668,2017/12/15,4,Comparative Qualitative Phosphoproteomics Analysis Identifies Shared Phosphorylation Motifs and Associated Biological Processes in Flowering Plants
bioinformatics,234989,2017/12/15,8,A methodology for unsupervised clustering using iterative pruning to capture fine-scale structure
bioinformatics,134536,2017/12/15,4,Differential Proportionality - A Normalization-Free Approach To Differential Gene Expression
bioinformatics,175364,2017/12/15,3,Network perturbation analysis of gene transcriptional profiles reveals protein targets and mechanism of action of drugs and influenza A viral infection
bioinformatics,234344,2017/12/15,7,Reliable detection of translational regulation with Ribo-seq
bioinformatics,160184,2017/12/14,2,JASPAR RESTful API: accessing JASPAR data from any programming language
bioinformatics,234278,2017/12/14,1,Host_microbe_mapper allows to analyse and interpret the expression of dual RNA-seq measurements and reveals potential microbial contaminations in the data
bioinformatics,234062,2017/12/14,4,iterativeWGCNA: iterative refinement to improve module detection from WGCNA co-expression networks
bioinformatics,233841,2017/12/14,2,CLAN: the CrossLinked reads ANalysis tool
bioinformatics,252924,2018/01/24,8,WEADE: a workflow for enrichment analysis and data exploration
bioinformatics,253625,2018/01/25,10,A MinION-based pipeline for fast and cost-effective DNA barcoding
bioinformatics,253492,2018/01/24,4,Comparing complex variants in family trios
bioinformatics,251058,2018/01/24,3,Prediction of Accurate Binding Modes using Combination of classical and accelerated Molecular dynamics and Free Energy Perturbation Calculations: An Application to Toxicity Studies
bioinformatics,253088,2018/01/24,3,SSPIM: a beam shaping toolbox for structured selective plane illumination microscopy
bioinformatics,252833,2018/01/24,8,Detection of de novo copy number deletions from targeted sequencing of trios
bioinformatics,236463,2018/01/23,21,Content-Aware Image Restoration: Pushing the Limits of Fluorescence Microscopy
bioinformatics,246900,2018/01/23,11,Bioinformatic analysis of endogenous and exogenous small RNAs on lipoproteins
bioinformatics,209015,2018/01/23,3,Discovering lncRNA Mediated Sponge Interactions in Breast Cancer Molecular Subtypes
bioinformatics,247536,2018/01/22,7,SVEngine: an efficient and versatile simulator of genome structural variations with features of cancer clonal evolution
bioinformatics,146035,2017/10/17,1,The Emergent Connectome in Caenorhabditis elegans Embryogenesis
bioinformatics,204016,2017/10/16,6,HTX: a tool for the exploration and visualization of high-throughput image assays
bioinformatics,204321,2017/10/16,7,DirtyGenes: significance testing for gene or bacterial population composition changes using the Dirichlet distribution
bioinformatics,203547,2017/10/15,3,Sequence fingerprints distinguish erroneous from correct predictions of Intrinsically Disordered Protein Regions
bioinformatics,146795,2017/10/14,17,Transcriptome Deconvolution of Heterogeneous Tumor Samples with Immune Infiltration
bioinformatics,202879,2017/10/13,3,The Genetic Chain Rule for Probabilistic Kinship Estimation
bioinformatics,201897,2017/10/13,2,FACSanadu: Graphical user interface for rapid visualization and quantification of flow cytometry data
bioinformatics,202887,2017/10/13,9,HYPO: A database of hypothetical human proteins
bioinformatics,201947,2017/10/13,4,Detecting T cell receptor rearrangements in silico from non-targeted DNA-sequencing (WGS/WES)
bioinformatics,169177,2017/10/13,6,SPECTRE: a Suite of PhylogEnetiC Tools for Reticulate Evolution
bioinformatics,089052,2016/11/22,2,"Multiple Confounders Correction with Regularized Linear Mixed Effect Models, with Application in Biological Processes"
bioinformatics,089177,2016/11/22,3,Constructing high-density linkage maps with MapDisto 2.0
bioinformatics,089102,2016/11/22,7,Predicting gene expression level in E. coli from mRNA sequence information
bioinformatics,088856,2016/11/22,8,SCODE: An efficient regulatory network inference algorithm from single-cell RNA-Seq during differentiation
bioinformatics,088922,2016/11/21,4,HiC-Spector: A matrix library for spectral and reproducibility analysis of Hi-C contact maps
bioinformatics,088906,2016/11/21,2,ConfocalGN : a minimalistic confocal image simulator.
bioinformatics,088765,2016/11/20,7,Isolator: accurate and stable analysis of isoform-level expression in RNA-Seq experiments
bioinformatics,081786,2016/11/20,2,SWALO: scaffolding with assembly likelihood optimization
bioinformatics,088591,2016/11/20,4,A SIMPLE pipeline for mapping point mutations
bioinformatics,088435,2016/11/19,12,Chromosome assembly of large and complex genomes using multiple references
bioinformatics,013995,2015/12/28,11,Privacy-preserving search for chemical compound databases
bioinformatics,035378,2015/12/25,6,solarius: an R interface to SOLAR for variance component analysis in pedigrees
bioinformatics,035352,2015/12/25,8,Biological screens from linear codes: theory and tools
bioinformatics,035204,2015/12/24,3,Bibliometric and Geographical Analysis of Cell Death Related Literature
bioinformatics,035238,2015/12/24,15,"De novo identification, differential analysis and functional annotation of SNPs from RNA-seq data in non-model species"
bioinformatics,035253,2015/12/24,4,High-accuracy HLA type inference from whole-genome sequencing data
bioinformatics,034876,2015/12/20,3,Practical Guidelines for Secure Cloud Computing using Genomic Data
bioinformatics,031229,2015/12/18,3,Kaiju: Fast and sensitive taxonomic classification for metagenomics
bioinformatics,034777,2015/12/17,4,SPECtre: a spectral coherence-based classifier of actively translated transcripts from ribosome profiling sequence data
bioinformatics,034744,2015/12/17,4,Inferring protein-protein interaction networks from inter-protein sequence co-evolution
bioinformatics,130633,2017/09/07,2,Acceleration Of Nucleotide Semi-Global Alignment With Adaptive Banded Dynamic Programming
bioinformatics,185983,2017/09/07,2,The number of orphans in yeast and fly is drastically reduced by using combining searches in both proteomes and genomes
bioinformatics,185843,2017/09/07,2,mosdepth: quick coverage calculation for genomes and exomes
bioinformatics,185868,2017/09/07,2,"A sequence-based, deep learning model accurately predicts RNA splicing branchpoints"
bioinformatics,182154,2017/09/07,6,A Methodology for Evaluating the Performance of Alerting and Detection Algorithms Running on Continuous Patient Data
bioinformatics,185504,2017/09/07,5,BraCeR: Reconstruction of B-cell receptor sequences and clonality inference from single-cell RNA-sequencing
bioinformatics,185744,2017/09/07,6,Channel crosstalk correction in suspension and imaging mass cytometry
bioinformatics,181875,2017/09/07,5,Integrated transcriptome and epigenome analyses identify alternative splicing as a novel candidate linking histone modifications to embryonic stem cell fate decision
bioinformatics,184515,2017/09/07,7,iSeg: an efficient algorithm for segmentation of genomic and epigenomic data
bioinformatics,162776,2017/09/06,3,SQUID: Transcriptomic Structural Variation Detection from RNA-seq
bioinformatics,146431,2017/07/07,3,Separable Fully Connected Layers Improve Deep Learning Models For Genomics
bioinformatics,160614,2017/07/07,4,Completing bacterial genome assemblies with multiplex MinION sequencing
bioinformatics,160606,2017/07/07,2,"Axe: rapid, competitive sequence read demultiplexing using a trie"
bioinformatics,053348,2017/07/06,6,PIVOT: Platform for Interactive Analysis and Visualization of Transcriptomics Data
bioinformatics,159954,2017/07/06,4,Toward A Scalable Exploratory Framework for Complex High-Dimensional Phenomics Data
bioinformatics,160085,2017/07/06,4,RNA Transcriptome Mapping with GraphMap
bioinformatics,159913,2017/07/05,2,Uncovering genomic trajectories with heterogeneous genetic and environmental backgrounds across single-cells and populations
bioinformatics,159533,2017/07/05,6,Network simulations of interneuron circuits in the honeybee primary auditory center
bioinformatics,159236,2017/07/04,10,Anti-HIV activity prediction and enrichment identify novel human targets for Anti-HIV therapy
bioinformatics,159145,2017/07/03,2,KinFin: Software for taxon-aware analysis of clustered protein sequences
bioinformatics,043810,2018/01/02,3,Finding de novo methylated DNA motifs
bioinformatics,237180,2018/01/02,5,NanoPack: visualizing and processing long read sequencing data
bioinformatics,241646,2018/01/01,4,DECODE-ing sparsity patterns in single-cell RNA-seq
bioinformatics,241505,2017/12/31,7,A deep convolutional neural network approach for astrocyte detection
bioinformatics,241190,2017/12/31,2,Comparison of computational methods for imputing single-cell RNA-sequencing data
bioinformatics,241026,2017/12/31,1,AFCMEasyModel: An Easy Interface for Modeling Competing Endogenous RNA Networks using ODEs
bioinformatics,241414,2017/12/31,5,DeepGS: Predicting phenotypes from genotypes using Deep Learning
bioinformatics,233544,2017/12/30,5,MAGpy: a reproducible pipeline for the downstream analysis of metagenome-assembled genomes (MAGs)
bioinformatics,166090,2017/12/30,6,Multi-modal meta-analysis of 1494 hepatocellular carcinoma samples reveals vast impacts of consensus driver genes on phenotypes
bioinformatics,240986,2017/12/30,4,TCIApathfinder: an R client for The Cancer Imaging Archive REST API
bioinformatics,019349,2015/05/18,4,ReproPhylo: An Environment for Reproducible Phylogenomics
bioinformatics,015107,2015/05/15,6,Using Mixtures of Biological Samples as Process Controls for RNA-sequencing experiments
bioinformatics,019315,2015/05/13,9,Roary: Rapid large-scale prokaryote pan genome analysis
bioinformatics,009548,2015/05/12,6,FourCSeq: Analysis of 4C sequencing data
bioinformatics,019109,2015/05/08,4,Improving the Power of Structural Variation Detection by Augmenting the Reference
bioinformatics,010843,2014/10/29,5,Sharing and specificity of co-expression networks across 35 human tissues
bioinformatics,019042,2015/05/07,4,Removing unwanted variation in a differential methylation analysis of Illumina HumanMethylation450 array data
bioinformatics,008110,2015/05/07,8,CAPRI: Efficient Inference of Cancer Progression Models from Cross-sectional Data
bioinformatics,012518,2015/05/06,3,CIDER: a pipeline for detecting waves of coordinated transcriptional regulation in gene expression time-course data
bioinformatics,018705,2015/05/05,1,GO-PCA: An Unsupervised Method to Explore Biological Heterogeneity Based on Gene Expression and Prior Knowledge
bioinformatics,082552,2016/10/22,9,Methods for detecting co-mutated pathways in cancer samples to inform treatment selection
bioinformatics,082479,2016/10/21,4,Binary Relation Extraction from Biomedical Literature using Dependency Trees and SVMs
bioinformatics,065607,2016/10/21,2,Transformation and model choice for RNA-seq co-expression analysis
bioinformatics,082081,2016/10/20,3,Lowest expressing microRNAs capture indispensable information - identifying cancer types
bioinformatics,082123,2016/10/20,3,Ribbon: Visualizing complex genome alignments and structural variation
bioinformatics,081802,2016/10/20,9,Tissue-aware RNA-Seq processing and normalization for heterogeneous and sparse data
bioinformatics,079442,2016/10/19,3,Portable and Error-Free DNA-Based Data Storage
bioinformatics,081935,2016/10/19,26,Combining transcription factor binding affinities with open-chromatin data for accurate gene expression prediction
bioinformatics,066043,2016/10/18,5,False Negatives Are a Significant Feature of Next Generation Sequencing Callsets
bioinformatics,073460,2016/10/18,4,Semi-Automated Identification of Ontological Labels in the Biomedical Literature with goldi
bioinformatics,082735,2016/12/08,3,Characterization of Dependencies Between Growth and Division in Budding Yeast
bioinformatics,092478,2016/12/08,4,Detection and characterization of low and high genome coverage regions using an efficient running median and a double threshold approach.
bioinformatics,092379,2016/12/07,3,Complete fold annotation of the human proteome using a novel structural feature space
bioinformatics,067702,2016/12/07,2,Optimized implementations of voxel-wise degree centrality and local functional connectivity density mapping in AFNI
bioinformatics,071019,2016/12/07,3,Metacoder: An R Package for Visualization and Manipulation of Community Taxonomic Diversity Data
bioinformatics,091280,2016/12/02,6,Characterizing Xenopus tropicalis endurance capacities with multilevel transcriptomics
bioinformatics,078253,2016/12/02,6,Predicting off-target effects for end-to-end CRISPR guide design
bioinformatics,052274,2016/12/02,1,Entropy and codon bias in HIV-1
bioinformatics,090746,2016/12/01,3,Tumor Origin Detection with Tissue-Specific miRNA and DNA methylation Markers
bioinformatics,090290,2016/12/01,1,"The unbalanced distribution of the amino aicds(Arg, Lys) in high pI proteins of complete proteomes, its origin and evolution"
bioinformatics,046110,2016/03/29,6,SCPattern: A statistical approach to identify and classify expression changes in single cell RNA-seq experiments with ordered conditions
bioinformatics,041236,2016/03/28,3,NextflowWorkbench: Reproducible and Reusable Workflows for Beginners and Experts
bioinformatics,046086,2016/03/28,5,Nanocall: An Open Source Basecaller for Oxford Nanopore Sequencing Data
bioinformatics,034942,2016/03/26,4,MBPpred: Proteome-wide detection of membrane lipid-binding proteins using profile Hidden Markov Models
bioinformatics,043604,2016/03/25,7,GenVisR: Genomic Visualizations in R
bioinformatics,045773,2016/03/25,7,Clusterflock: A Flocking Algorithm for Isolating Congruent Phylogenomic Datasets
bioinformatics,022707,2016/03/24,2,Tools and techniques for computational reproducibility
bioinformatics,020230,2016/03/22,4,"OPERA-LG: Efficient and exact scaffolding of large, repeat-rich eukaryotic genomes with performance guarantees"
bioinformatics,044669,2016/03/21,2,AuPairWise: a method to estimate RNA-seq replicability through co-expression
bioinformatics,045021,2016/03/21,2,Mining Large Heterogeneous Cancer Data Sets Using Boolean Implications
bioinformatics,238766,2017/12/22,5,OmicsNet: Integration of Multi-Omics Data using Path Analysis in Multilayer Networks
bioinformatics,238428,2017/12/22,10,"Transcriptional evaluation of the developmental accuracy, reproducibility and robustness of kidney organoids derived from human pluripotent stem cells"
bioinformatics,136143,2017/12/22,3,A hypothesis-driven approach to assessing significance of differences in RNA expression levels among specific groups of genes
bioinformatics,237685,2017/12/22,4,Identification and analysis of mobile genetic elements in Gibbon genome
bioinformatics,216994,2017/12/21,5,Leveraging multiple transcriptome assembly methods for improved gene structure annotation
bioinformatics,146514,2017/12/21,5,Bystro: rapid online variant annotation and natural-language filtering at whole-genome scale
bioinformatics,237727,2017/12/21,9,Dr.Paso: Drug response prediction and analysis system for oncology research
bioinformatics,237883,2017/12/21,3,Decomposing the Apoptosis Pathway Into Biologically Interpretable Principal Components
bioinformatics,213470,2017/12/21,4,Non-biological synthetic spike-in controls and the AMPtk software pipeline improve fungal high throughput amplicon sequencing data
bioinformatics,237214,2017/12/21,5,Robust expression variability testing reveals heterogeneous T cell responses
bioinformatics,098327,2017/02/16,6,CircularLogo: A lightweight web application to visualize intra-motif dependencies
bioinformatics,051995,2017/02/16,1,Inference of maternal allele inheritance via Bayesian hierarchical model in noninvasive prenatal diagnosis
bioinformatics,047464,2017/02/16,6,GenoGAM: Genome-wide generalized additive models for ChIP-seq analysis
bioinformatics,095372,2017/02/14,3,McClintock: An integrated pipeline for detecting transposable element insertions in whole genome shotgun sequencing data.
bioinformatics,108142,2017/02/13,4,dRep: A tool for fast and accurate genome de-replication that enables tracking of microbial genotypes and improved genome recovery from metagenomes
bioinformatics,057778,2017/02/13,2,Topslam: Waddington Landscape Recovery for Single Cell Experiments
bioinformatics,081745,2017/02/13,2,Functional determinants of protein assembly into homomeric complexes
bioinformatics,107821,2017/02/11,3,HTSvis: A web app for exploratory data analysis and visualization of arrayed high-throughput screens
bioinformatics,107276,2017/02/09,5,PhyD3: a phylogenetic tree viewer with extended phyloXML support for functional genomics data visualization
bioinformatics,090811,2017/02/09,2,BCFtools/csq: Haplotype-aware variant consequences
bioinformatics,257386,2018/02/01,3,PTMscape: an open source tool to predict generic post-translational modifications and map hotspots of modification crosstalk
bioinformatics,258152,2018/02/01,9,DeepHINT: Understanding HIV-1 integration via deep learning with attention
bioinformatics,258061,2018/01/31,4,Seave: a comprehensive web platform for storing and interrogating human genomic variation
bioinformatics,257931,2018/01/31,3,PopPhy-CNN: A Phylogenetic Tree Embedded Architecture for Convolution Neural Networks for Metagenomic Data
bioinformatics,257352,2018/01/31,9,Big data and single cell transcriptomics: implications for ontological representation
bioinformatics,256453,2018/01/31,8,Cross-type Biomedical Named Entity Recognition with Deep Multi-Task Learning
bioinformatics,257444,2018/01/31,3,GEOMetaCuration: A web-based application for accurate manual curation of Gene Expression Omnibus metadata
bioinformatics,256941,2018/01/31,3,PROSSTT: probabilistic simulation of single-cell RNA-seq data for complex differentiation processes
bioinformatics,255018,2018/01/31,4,MicroPheno: Predicting environments and host phenotypes from 16S rRNA gene sequencing using a k-mer based representation of shallow sub-samples
